ns	Zqq^s	err(Zqq^s)	Zqg	err(Zqg)	Zgq	err(Zgq)	Zgg	err(Zgg)
23	1.2075451049215467	0.003140520816287655	-0.0967164466470099	0.004399957062696062	0.040205083634848156	0.005469024253322924	0.7974747000175995	0.031241233983829886
24	1.2070742106069159	0.0030424546605283924	-0.09737570257806091	0.004331895190483147	0.04408782978756514	0.0054545776638917935	0.8029105265092096	0.030431242470888492
25	1.2066128667669112	0.0029156328231751405	-0.09803022106163481	0.004225792454718143	0.04789182362587313	0.005371515472328921	0.8083072711823213	0.02921033326602302
26	1.206184317114155	0.0028793917509503876	-0.09855418704276346	0.004185643084188877	0.05142541629555577	0.005381246789028336	0.8126275632682678	0.028659300887021195
27	1.205724510835937	0.0028571398076513215	-0.09902632896826528	0.004152434233760728	0.055216749518905386	0.005477596642805729	0.8165205356415165	0.028169622013500917
28	1.2053291301756726	0.002844531681163658	-0.09945696334444863	0.004126142815260573	0.05847684536892181	0.005492083009933626	0.8200712547373309	0.02774390334340545
29	1.2049492676856657	0.002841851681310742	-0.0998484405466075	0.0041055773402434124	0.061608985400166204	0.005509991993179839	0.8232991011589911	0.02737231238031636
30	1.2045838195525183	0.0028477621769444207	-0.10020496872414046	0.004090006042334141	0.06462227124690434	0.005531010957698368	0.8262387739500506	0.027049373971129026
31	1.2042317640568465	0.002860964236188903	-0.10053029701515281	0.004078759537263003	0.06752512762477181	0.005554849295944736	0.828921187255084	0.026769904441652885
32	1.2038921680710246	0.002880227341681602	-0.10082772319978474	0.004071238836724736	0.07032524875259225	0.005581220066624062	0.8313735334575536	0.026529155781352187
33	1.2035641547661764	0.0029043819579385147	-0.10110017786435137	0.004066890327810013	0.0730298646245052	0.005609843411326096	0.8336199771468229	0.02632255284410597
34	1.203246943025974	0.00293231910040793	-0.1013502815913997	0.004065212291809611	0.07564541602078216	0.005640397057037859	0.8356821266921715	0.026145791754454438
35	1.2029397810699267	0.0029630226117138376	-0.10158041978274794	0.004065748419988005	0.07817810182526785	0.005672587376328451	0.8375796512151862	0.02599481274106549
36	1.202642001589785	0.0029955793186506124	-0.10179266337488618	0.0040680879640755205	0.08063342439948423	0.005706092302239018	0.8393296268903835	0.025865900554179026
37	1.2023529980784144	0.003029221850186524	-0.10198884609047915	0.004071871277952104	0.08301638475762561	0.005740591243810133	0.8409471738876657	0.025755703064841404
38	1.2020721855571914	0.0030632561849586104	-0.10217068458891927	0.004076772065015907	0.0853318063979667	0.005775754865488818	0.8424464471200778	0.02566111751999476
39	1.2017990219675585	0.003097095568685826	-0.10233977424815457	0.004082508556846358	0.08758415890586829	0.005811253301518943	0.8438406014059149	0.025579339621809426
40	1.2015327520347376	0.0031302240222445574	-0.10249795127913083	0.004088853397278557	0.08977966992543789	0.005846858353620173	0.8451447773355876	0.025508013863181772
